Country,Date,int_perc,electricity_consumed,energy_consumed,population,GDP,continent,country_name
AZE,2007,14.54,16.98402,62.006910703678486,8724.24,102.292,Europe,Azerbaijan
AZE,2008,17.08,16.69734,65.67239883131504,8821.87,113.046,Europe,Azerbaijan
AZE,2009,27.4,13.47952,60.919917116035265,8924.38,123.391,Europe,Azerbaijan
AZE,2010,46.0,13.56822,64.95075132959263,9032.46,129.589,Europe,Azerbaijan
AZE,2011,50.0,14.55992,60.730101870133744,9146.28,127.883,Europe,Azerbaijan
AZE,2012,54.2,17.79298,65.11400139646432,9264.68,130.739,Europe,Azerbaijan
AZE,2013,58.7,18.38526,60.44778813965526,9385.47,138.312,Europe,Azerbaijan
AZE,2014,61.0,19.59206,61.54990418683375,9505.62,142.249,Europe,Azerbaijan
BHS,1990,0.0,0.83049,159.96145976029067,256.227,9.21678,North America,Bahamas
BHS,1991,0.0,0.99231,139.2855785477018,261.007,8.83136,North America,Bahamas
BHS,1992,0.0,1.01835,115.619068708557,266.028,8.49351,North America,Bahamas
BHS,1993,0.0,1.06392,119.8165512626123,271.065,8.51965,North America,Bahamas
BHS,1994,0.0,1.11693,130.7993521818096,275.849,8.78793,North America,Bahamas
BHS,1995,0.960030720983071,1.09647,153.8998069091545,280.179,9.17273,North America,Bahamas
BHS,1996,1.74695069755741,1.12809,171.17504753855906,283.98,9.56015,North America,Bahamas
BHS,1997,1.36295390281695,1.19226,164.8747333511969,287.363,9.75732,North America,Bahamas
BHS,1998,2.33559071038067,1.29549,185.14932725395732,290.6,10.2175,North America,Bahamas
BHS,1999,3.76455782177031,1.36152,160.93312147396986,294.063,10.9475,North America,Bahamas
BHS,2000,8.0,1.45545,188.47499538660276,298.045,11.4017,North America,Bahamas
BHS,2001,11.8,1.51218,189.18409678208135,302.618,11.701,North America,Bahamas
BHS,2002,18.0,1.59588,192.998511329175,307.657,12.0175,North America,Bahamas
BHS,2003,20.0,1.6833,132.45544083315502,313.123,11.8655,North America,Bahamas
